Club Name,Keywords,Keywords_with_Weights
Beatboxing at BU,General Interest,General Interest (1.0)
Burmese Student Association ,General Interest,General Interest (1.0)
Business Law Club,Business; Law; Environmental,Business (0.3333); Law (0.3333); Environmental (0.3333)
CleanTech Club,Engineering; Environmental; International,Engineering (0.3333); Environmental (0.3333); International (0.3333)
College Republicans at Boston University,Politics,Politics (1.0)
Graduate Chinese Students and Scholars Association - 47600,East Asian; Community Service,East Asian (0.5); Community Service (0.5)
Data Science Association,Technology; Environmental; Professional Development,Technology (0.3333); Environmental (0.3333); Professional Development (0.3333)
Community Gardens at BU,Environmental; Food & Cooking,Environmental (0.5); Food & Cooking (0.5)
Bug Club,Healthcare; Food & Cooking,Healthcare (0.5); Food & Cooking (0.5)
Gliding &amp; Soaring at Boston University,Film & Media; Professional Development,Film & Media (0.5); Professional Development (0.5)
Girls Who Code,Technology; Community Service; Professional Development,Technology (0.3333); Community Service (0.3333); Professional Development (0.3333)
Hindu Cultural Association,Politics,Politics (1.0)
In Achord,Music; LGBTQ+,Music (0.5); LGBTQ+ (0.5)
Journal of History at Boston University,Writing,Writing (1.0)
Journalists of Color,Film & Media; Social Justice; Professional Development,Film & Media (0.3333); Social Justice (0.3333); Professional Development (0.3333)
Latin American Student Association at Boston University,Latin American,Latin American (1.0)
Bulletproof Funk,Dance; Theater,Dance (0.5); Theater (0.5)
Moot Court Organization,Law; Social Justice,Law (0.5); Social Justice (0.5)
Marketing Club,Business; Film & Media,Business (0.5); Film & Media (0.5)
Mars Rover Club,Technology; Engineering; Community Service,Technology (0.3333); Engineering (0.3333); Community Service (0.3333)
Ophthalmology/Optometry Society,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
Prevent at BU,Healthcare; Mental Wellness; Community Service,Healthcare (0.3333); Mental Wellness (0.3333); Community Service (0.3333)
Palestine Student Association at BU,General Interest,General Interest (1.0)
Urban Birding Club,General Interest,General Interest (1.0)
Real Estate Club,Business,Business (1.0)
Recreational Tennis Club,Individual Sports,Individual Sports (1.0)
South Asian Student Association,South Asian; Community Service,South Asian (0.5); Community Service (0.5)
Sports Business Club,Business; Law; Film & Media; Professional Development,Business (0.25); Law (0.25); Film & Media (0.25); Professional Development (0.25)
Songwriters Circle,Music; Theater; Environmental,Music (0.3333); Theater (0.3333); Environmental (0.3333)
Society For Biomaterials,General Interest,General Interest (1.0)
Business & Technology Club,Business; Technology; Engineering; Professional Development,Business (0.25); Technology (0.25); Engineering (0.25); Professional Development (0.25)
Ski & Snowboard Club,General Interest,General Interest (1.0)
Skincare Club,Environmental; Professional Development,Environmental (0.5); Professional Development (0.5)
Trading Card Games Club,General Interest,General Interest (1.0)
Tech Talks,Technology; Professional Development,Technology (0.5); Professional Development (0.5)
Undergraduate Engineering Society,Engineering; Social Justice; Professional Development; Food & Cooking,Engineering (0.25); Social Justice (0.25); Professional Development (0.25); Food & Cooking (0.25)
Undergraduate Women in Economics,Business; Social Justice; Women-Focused,Business (0.3333); Social Justice (0.3333); Women-Focused (0.3333)
Venture Group BU,Business; Film & Media; Women-Focused,Business (0.3333); Film & Media (0.3333); Women-Focused (0.3333)
Visual Journalists Association,Visual Arts; Professional Development,Visual Arts (0.5); Professional Development (0.5)
"Zeta Phi Beta Sorority, Incorporated ",Community Service; Greek Life,Community Service (0.5); Greek Life (0.5)
Campus Activities Board,Film & Media,Film & Media (1.0)
Callbacks,Theater; Film & Media,Theater (0.5); Film & Media (0.5)
CAS Student Government,Technology; Politics,Technology (0.5); Politics (0.5)
Catholic Student Association,Christian; Community Service,Christian (0.5); Community Service (0.5)
CDS Student Government,Politics; Social Justice,Politics (0.5); Social Justice (0.5)
Conscious Educators of Color,Law; Environmental,Law (0.5); Environmental (0.5)
Center for Gender Sexuality and Activism,Social Justice,Social Justice (1.0)
CFA Student Government,Politics; Visual Arts,Politics (0.5); Visual Arts (0.5)
CGS Student Government,Politics; Social Justice,Politics (0.5); Social Justice (0.5)
Chabad Jewish Student Organization,Jewish,Jewish (1.0)
Chankaar,Dance; Theater; South Asian; Women-Focused,Dance (0.25); Theater (0.25); South Asian (0.25); Women-Focused (0.25)
Cheer Team,Visual Arts; Team Sports; Women-Focused,Visual Arts (0.3333); Team Sports (0.3333); Women-Focused (0.3333)
Chemia,Science; Professional Development,Science (0.5); Professional Development (0.5)
Chess Club,Environmental,Environmental (1.0)
Chi Phi,Law; Social Justice; Greek Life,Law (0.3333); Social Justice (0.3333); Greek Life (0.3333)
Chinese Students Association,East Asian,East Asian (1.0)
Choral Society,Music,Music (1.0)
Chordially Yours,Music; Theater; Women-Focused,Music (0.3333); Theater (0.3333); Women-Focused (0.3333)
Christians on Campus,General Interest,General Interest (1.0)
Circle K International,Community Service,Community Service (1.0)
Climbing Club,Outdoor,Outdoor (1.0)
Club Colombia,Food & Cooking,Food & Cooking (1.0)
Club Sports,Dance; Team Sports; Individual Sports; Women-Focused,Dance (0.25); Team Sports (0.25); Individual Sports (0.25); Women-Focused (0.25)
College Democrats,Politics,Politics (1.0)
American Cancer Society on Campus,General Interest,General Interest (1.0)
The College of Communication Student Government,Politics; Film & Media; Environmental; Professional Development,Politics (0.25); Film & Media (0.25); Environmental (0.25); Professional Development (0.25)
Consulting Group,Business; Professional Development,Business (0.5); Professional Development (0.5)
Cru,Christian,Christian (1.0)
Community Service Center,Community Service,Community Service (1.0)
Computer Science Club,Technology; Environmental; Professional Development,Technology (0.3333); Environmental (0.3333); Professional Development (0.3333)
Cybersecurity Association,Business; Technology,Business (0.5); Technology (0.5)
Dance Theatre Group,Dance; Theater,Dance (0.5); Theater (0.5)
Dance Team,Dance; Theater; Community Service; Team Sports; Women-Focused,Dance (0.2); Theater (0.2); Community Service (0.2); Team Sports (0.2); Women-Focused (0.2)
Deaf Studies Club,General Interest,General Interest (1.0)
Debate Society,General Interest,General Interest (1.0)
Delta Delta Delta,Greek Life; Women-Focused,Greek Life (0.5); Women-Focused (0.5)
Delta Gamma,Community Service; Greek Life; Women-Focused,Community Service (0.3333); Greek Life (0.3333); Women-Focused (0.3333)
Delta Kappa Alpha,Business; Film & Media; Greek Life,Business (0.3333); Film & Media (0.3333); Greek Life (0.3333)
Delta Phi Epsilon International,Business; Law; Politics; Film & Media; Community Service; Professional Development,Business (0.1667); Law (0.1667); Politics (0.1667); Film & Media (0.1667); Community Service (0.1667); Professional Development (0.1667)
Delta Sigma Pi,Business; Healthcare; Film & Media; Writing; Community Service; Team Sports; Greek Life; Professional Development; Women-Focused,Business (0.1111); Healthcare (0.1111); Film & Media (0.1111); Writing (0.1111); Community Service (0.1111); Team Sports (0.1111); Greek Life (0.1111); Professional Development (0.1111); Women-Focused (0.1111)
Dheem: Indian Classical Arts Association,Law; Dance; South Asian; Social Justice,Law (0.25); Dance (0.25); South Asian (0.25); Social Justice (0.25)
Diversity in Law Association,Law; Social Justice; Professional Development,Law (0.3333); Social Justice (0.3333); Professional Development (0.3333)
Dodgeball Club,Environmental,Environmental (1.0)
The DREAM Program,General Interest,General Interest (1.0)
Dominican Student Association at BU,General Interest,General Interest (1.0)
Edge Dance Company,Dance; Theater,Dance (0.5); Theater (0.5)
Egyptian Club,Politics,Politics (1.0)
Elementary Education,Community Service,Community Service (1.0)
Emergency Medical Service Club,Healthcare; Community Service,Healthcare (0.5); Community Service (0.5)
ENG Student Government,Politics; Theater,Politics (0.5); Theater (0.5)
Engineers Without Borders,Engineering,Engineering (1.0)
Entrepreneur's Club,Business,Business (1.0)
Environmental Student Organization,Law; Film & Media; Social Justice; Environmental,Law (0.25); Film & Media (0.25); Social Justice (0.25); Environmental (0.25)
Epsilon Eta,Community Service; Environmental; Greek Life,Community Service (0.3333); Environmental (0.3333); Greek Life (0.3333)
Eritrean and Ethiopian Students Association,Law; Dance; African; Social Justice,Law (0.25); Dance (0.25); African (0.25); Social Justice (0.25)
Etc. Choir,Music; Theater; LGBTQ+,Music (0.3333); Theater (0.3333); LGBTQ+ (0.3333)
F1Tenth Autonomous Racing Organization at Boston University,Technology; Science; Engineering; Environmental,Technology (0.25); Science (0.25); Engineering (0.25); Environmental (0.25)
Fabrio,Environmental,Environmental (1.0)
Fashion and Retail Association,Professional Development,Professional Development (1.0)
